Component,Alpha prototype,Gamma prototype
Design Elements,<ul><li>Single tube operation/cycle</li><li>Hinged lid with view window</li><li>Daughter heater board with aluminum heat block</li><li>Scotch-yoke carriage system with brushless motor</li><li>Battery operated (rechargeable Li-ion battery)</li></ul>,<ul><li>Upgraded Scotch-yoke carriage with better wear characteristics and insulation</li><li>Upgraded motor and bearing</li><li>Clip-in tube retainer</li><li>Taller heat block</li><li>Upgraded flex cable</li><li>Upgraded power management on main PCBA</li><li>More and larger Li-ion batteries</li><li>Physical battery disconnect (kill) switch</li><li>Battery door</li></ul>
Size,"<ul><li>5"" × 2.9"" × 4.2""</li><li>1.2 kg</li></ul>","<ul><li>7.6"" × 3.6"" × 4.4""</li><li>2.5 kg</li></ul>"
Throughput,<ul><li>1 tube/cycle</li></ul>,<ul><li>1 tube/cycle</li></ul>
Tube Compatibility,<ul><li>Kang Jia KJ7025-3ML dropper tube</li></ul>,<ul><li>Kang Jia KJ7025-3ML dropper tube</li></ul>
Mechanical Actuation,"<ul><li>Brushless motor and scotch yoke</li><li>Motor: 3625BL-24 (24 V, 3.2 W, 4400 rpm motor)</li><li>Bearing: 57155K346 (60/20 lb dynamic/static)</li></ul>","<ul><li>Brushless motor and scotch yoke</li><li>Motor: Higher power DIX36B (24 V, 7 W, 5200 rpm)</li><li>Bearing: Higher radial load capacity 57155k374 (290/100 lb dynamic/static)</li></ul>"
Carriage & Rails,<ul><li>Carriage housing with small air gap</li><li>No tube retainer feature (added strike plate on lid window)</li><li>Smaller debris shield</li><li>Nickel plated stainless steel rails</li></ul>,<ul><li>Enlarged carriage housing with air gap for better insulation</li><li>Clip-in tube retainer feature to maintain tube-heat block contact</li><li>Debris shield </li><li>Delrin or stainless steel (17-4 Ph) rails</li></ul>
Amplitude & Frequency,<ul><li>7 mm</li><li>65 Hz</li></ul>,<ul><li>7 mm</li><li>65 Hz</li></ul>
Heat Block,<ul><li>Aluminum</li><li>Shorter heat block (19.37 mm)</li><li>Bottom is opened to force convection</li></ul>,<ul><li>Aluminum</li><li>Taller heat block (30.67 mm) for better sample coverage</li><li>Bottom enclosed by heater to reduce heat loss</li></ul>
Heater,<ul><li>Single PCB heater with integral traces with attached aluminum heat block</li><li>Trace resistance = 2.1 Ω through electromagnetic modeling</li><li>Temperature sensor: TE Connectivity G-NICO-018 integrated on the opposite side of heater</li><li>Opened center cutout</li></ul>,<ul><li>Single PCB heater with attached aluminum heat block</li><li>Trace resistance = 2.7 Ω measured on the board</li><li>PWM’d with a 6V supply</li><li>Temperature sensor: TE Connectivity G-NICO-018 integrated on the opposite side of heater</li></ul>
Heater Connector,<ul><li>20-pin FFC connector</li></ul>,<ul><li>40-pin FFC connector (for decreased series power loss)</li></ul>
Battery / Power,"<ul><li>4× 18650 Li-ion batteries in parallel</li><li>Off-the-shelf battery holder with wire leads, modified for batteries to operate in parallel</li></ul>",<ul><li>6× 21700 Li-ion batteries in 2s3p configuration</li><li>Custom battery holder with thick gauge wires (10 ga) to reduce voltage drop</li></ul>
Firmware,<ul><li>Code version: V1.6 (branch: `power-module-V1.6`)</li><li></li></ul>,<ul><li>Code version: V3.1 (tag: `V3.1_and_odic_splitpoint`)</li><li>Refactored (compare to alpha firmware) to be used for both PM and SPM</li><li>User customizable process cycle (temperature and motor speed control)</li></ul>
Power Management,"<ul><li>Heaters ran from unregulated battery voltage with series-inductor losses, due to design problems with the 5V boost converter (which was kept switched off)</li></ul>","<ul><li>Heater boost power supply and motor power supply working well. However, there is a design flaw which exposed MCU pins connected to the motor to higher than Nordic absolute maximums when the motor power supply was shutdown. A hardware and software rework was put into place as a mitigation.</li></ul>"
File System,<ul><li>SD card</li></ul>,<ul><li>On-board solid state memory</li></ul>
Developer Features,<ul><li>Data logging</li><li>Mass storage mode for file access</li><li>Status and battery indications</li></ul>,"<ul><li>Physical battery disconnect (kill) switch</li><li>File system reset on device</li><li>Serial communication, including data streaming</li><li>Automatic run modes</li></ul>"
